ID;Empresa;Año_creacion;CNAE_SECTOR;num_cnae;CNAE;Objeto_social;CNAE_SECCIÓN;CNAE_DIVISIÓN;Sector;Localidad;Provincia;Ventas;Empleados;Telefono;Web;Email
45;Turrones el Romero Sa;1989;Industria;1089;1089 - elaboración de otros productos alimenticios n.c.o.p.;elaboración de turrones y dulces de navidad.;Industria manufacturera;Industria de la alimentación;alimentacion;Jijona;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965610272;www.turroneselromero.com;info@turroneselromero.com
46;Turrones Coloma Sa;1984;Servicios;4636;4636 - comercio al por mayor de azúcar, chocolate y confitería;comercialización de turrones y mazapanes;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;turron;Jijona;Alicante;Entre 3 y 6 millones;Menos de 5;965610267;https://turronesjgarrigos.com/;amalia@turronescoloma.com
47;Turrones Jose Garrigos Sa;1978;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;fabricación de mazapanes, turrones.;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965610625;www.turronesjgarrigos.com;exporta@turronesjgarrigos.com
48;Productos Josman Sl;1990;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;comercializacion de articulos alimenticios;Industria manufacturera;Industria de la alimentación;alimentacion;Jijona;Alicante;Entre 0,6 y 1,5 millones;Entre 5 y 25;965610784;----;----
49;Plasticos Jijona Sl;2001;Industria;2229;2229 - fabricación de otros productos de plástico;a) la transformacion de plasticos y la elaboracion y envasado de productos para la industria alimentaria: b) el comercio de articulos de menaje, ferreteria, adorno, regalo o reclamo, bisuteria y pegueros electrodomestico;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Jijona;Alicante;Entre 0,6 y 1,5 millones;Menos de 5;965 61 21 11;http://www.plasticosjijona.com;----
50;Productos Kelmy Sa;1985;Industria;1089;1089 - elaboración de otros productos alimenticios n.c.o.p.;elaboración y suministro de productos y materias primas para las industrias pasteleras y de heladería.;Industria manufacturera;Industria de la alimentación;alimentacion;Jijona;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965612600;www.kelmy.com;kelmy@kelmy.com
51;Xixogelat Sl;2016;Industria;1052;1052 - elaboración de helados;la elaboración, comercialización de helados;Industria manufacturera;Industria de la alimentación;helados;Jijona;Alicante;Menor 300 mil;Menos de 5;965975423;----;xixogelat@gmail.com
52;Turrones La Colmena Sl;2016;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;1-fabricación, envasado, almacenaje, venta, y distribución de turrones, dulces, chocolates, miel y otros productos alimenticios. 2-venta y distribución de cajas, papeles, cintas y otros objetos de decoración;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Entre 0,6 y 1,5 millones;Menos de 5;965613356;www.turroneslacolmena.com;----
53;La Española Alimentaria Alcoyana Sa;1941;Industria;1039;1039 - otro procesado y conservación de frutas y hortalizas;procesado y conservación de frutas y hortalizas, principalmente de aceitunas.;Industria manufacturera;Industria de la alimentación;alimentacion;Alcoy;Alicante;Mayor 30 millones;Entre 50 y 250;965330801;www.laespanola.es;----
54;Interfabrics Sl;1994;Industria;1320;1320 - fabricación de tejidos textiles;fabricación y comercialización de tejidos para la decoración y lencería para el hogar.;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Mayor 30 millones;Entre 50 y 250;966544100;www.aquaclean.com;----
55;Inde Truck Sl;2013;Industria;2920;"2920 - fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques";fabricación y venta de semirremolques frigoríficos.;Industria manufacturera;Fabricación de vehículos de motor, remolques y semirremolques;motor;Alcoy;Alicante;Mayor 30 millones;Entre 50 y 250;865685480;www.indetruck.com;info@indetruck.com
56;Bridge Polymers Sl;2018;Servicios;4676;4676 - comercio al por mayor de otros productos semielaborados;compra-venta de materias plásticas.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;plastico;Alcoy;Alicante;Mayor 30 millones;Menos de 5;661 426 346;www.bridgepolymers.eu;info@bridgepolymers.eu
57;Germaine De Capuccini, Sau;1976;Industria;2042;2042 - fabricación de perfumes y cosméticos;fabricación y distribución de jabones de tocador y productos de perfumeria y cosmética.;Industria manufacturera;Industria química;perfumeria_cosmeticos;Alcoy;Alicante;Mayor 30 millones;Entre 50 y 250;965547070;www.germaine-de-capuccini.com;info@germainedecapuccini.es
58;Termoformas De Levante Sl;2004;Industria;2222;2222 - fabricación de envases y embalajes de plástico;fabricacion de envases termoconformados;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Alcoy;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965547210;www.termoformas.net; info@termoformas.es
59;Casimiro Perez Sl;1981;Servicios;4633;4633 - comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles;comercio al por mayor de aceites de todo tipo;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;alimentacion;Alcoy;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965521499;www.aceitestroya.com;contabilidad@aceitestroya.com
60;Laboratorios Cosmoral Sl;2013;Industria;2042;2042 - fabricación de perfumes y cosméticos;fabricación y comercio al por mayor de productos higiénico-bucales.;Industria manufacturera;Industria química;perfumeria_cosmeticos;Alcoy;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966520195;www.boniquet.com;info@cosmoral.es
61;Agloma D'alcoi S.l;2002;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;comercio al por mayor de madera y corcho para decoración.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Alcoy;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965545288;www.agloma.es;recepcion@agloma.es
62;Marshmallows International Sl;2006;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;fabricación y venta de golosinas y productos de confitería.;Industria manufacturera;Industria de la alimentación;alimentacion;Alcoy;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966526085;www.mrmallo.com/en; fernando.debran@mrmallo.com
63;Adsalsa Sl;2018;Servicios;7311;7311 - agencias de publicidad;actividades de marketing.; Actividades profesionales, científicas y técnicas;Publicidad y estudios de mercado;publicidad_marketing;Alcoy;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965334670;www.adsalsa.com;info@adsalsa.com
64;Nirvel Sl;1979;Industria;2042;2042 - fabricación de perfumes y cosméticos;fabricacion de productos de peluquería y cosmética;Industria manufacturera;Industria química;perfumeria_cosmeticos;Alcoy;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965523162;www.nirvel.com;info@nirvelcosmetics.com
65;Gamma Tensor Sl;1993;Industria;2060;2060 - fabricación de fibras artificiales y sintéticas;fabricación de tejidos multiaxiales;Industria manufacturera;Industria química;textil;Alcoy;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965523913;www.gammatensor.com;gammatensor@gammatensor.com
66;Mecanizados Alcoy Sl;1986;Industria;2812;2812 - fabricación de equipos de transmisión hidráulica y neumática;fabricación de cilindros (para prensas...) y equipo oleohidraulicos.;Industria manufacturera;Fabricación de maquinaria y equipo n.c.o.p.;fabricacion_industrial;Alcoy;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965548077;www.mecanizadosalcoy.es;comercial@mecanizadosalcoy.es
67;Ahumados El Duende Sl;2001;Industria;1022;1022 - fabricación de conservas de pescado;fabricación de semiconservas de pescado.;Industria manufacturera;Industria de la alimentación;alimentacion;Alcoy;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965331058;www.ahumadoselduende.com;info@ahumadoselduende.com 
68;Nirvel Cosmetics Sl;2000;Servicios;4645;4645 - comercio al por mayor de productos de perfumería y cosmética;comercio mayor y menor de productos de perfumeria y cosmetica.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;perfumeria_cosmeticos;Alcoy;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965523162; www.nirvel.com;info@nirvelcosmetics.com
69;Carnicas Catala Sl;1969;Agricultura;149;0149 - otras explotaciones de ganado;fabricación de productos cárnicos de todas clases y matadero de porcino;Agricultura, ganadería, silvicultura y pesca;Agricultura, ganadería, caza y servicios relacionados con las mismas;alimentacion;Alcoy;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966540103;www.carnicascatala.com;luzgregorio@carnicascatala.com
70;Grupo Friesa-el Carrascal Sl;1988;Industria;1013;1013 - elaboración de productos cárnicos y de volatería;comercio al por mayor de carne y productos cárnicos de todo tipo.;Industria manufacturera;Industria de la alimentación;alimentacion;Alcoy;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965542534;www.grupofriesa.com;friesasl@hotmail.com
71;226ers Sports Things Sl;2010;Industria;1086;1086 - elaboración de preparados alimenticios homogeneizados y alimentos dietéticos;comercio al por mayor de productos alimenticios para deportistas.;Industria manufacturera;Industria de la alimentación;alimentacion;Alcoy;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966931203;web: www.226ers.com/es/;info@226ers.com
72;Pico-tex Sl;1992;Industria;1392;1392 - fabricación de artículos confeccionados con textiles, excepto prendas de vestir;fabricacion textil de productos de limpieza: fregonas, bayetas, etc.;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Entre 6 y 30 millones;Entre 25 y 50;966540351;www.picotex.es;info@picotex.com
73;Ruben Gandia E Hijos Sl;1994;Industria;1310;1310 - preparación e hilado de fibras textiles;hilados para el género de punto, hogar, calzado, confección, etc... abarcando para cada uno de estos sectores del textil y fabricación y comercialización de hilos para diferentes sectores productivos. fabricación de hilos especiales para la industria alimentaria.;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965524150; www.rubengandia.com;info@rubengandia.com
74;Mb Mibor Internacional Sl;2010;Industria;1396;1396 - fabricación de otros productos textiles de uso técnico e industrial;fabricante y distribuidor de elementos auxiliares para la industria del calzado.;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966540023;www.mibor.biz;mibor@mibor.biz
75;Juan Campos Sa;1979;Industria;1310;1310 - preparación e hilado de fibras textiles;fabricación de tejidos para el hogar tanto por metros como confeccionados.;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965540544;www.juancampos.com;info@juancampos.com
76;Hilados Biete Sl;1984;Industria;1399;1399 - fabricación de otros productos textiles n.c.o.p.;fabricación de artículos de limpieza;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965330747;www.hiladosbiete.com;ressol@hiladosbiete.com
77;Seripafer Sl;1987;Industria;1812;1812 - otras actividades de impresión y artes gráficas;servicios de packaging, cartelería, impresión en offset y digital.;Industria manufacturera;Artes gráficas y reproducción de soportes grabados;artes_graficas;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965525696;www.seripafer.com;comercial@seripafer.com
78;Tu Diras Sl;1995;Servicios;4669;4669 - comercio al por mayor de otra maquinaria y equipo;comercialización al por mayor y menor de maquinaria de impresión, serigrafía y tampografía.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;fabricacion_industrial;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 25;966522606;www.tudiras.com.es;info@tudiras.com.es
